p1,score1,p2,score2,date
Gregi,11,Brina,9,13-06-2025
Gregi,12,Brina,14,13-06-2025
Brina,3,Tomi,11,13-06-2025
Brina,11,Tomi,5,13-06-2025
Brina,11,Gregi,5,13-06-2025
Brina,12,Tomi,10,13-06-2025
Brina,11,Gregi,5,13-06-2025
Gregi,7,Brina,11,13-06-2025
Gregi,7,Brina,11,13-06-2025
Gregi,9,Brina,11,13-06-2025
Gregi,11,Brina,9,13-06-2025
Gregi,11,Brina,7,13-06-2025
Gregi,4,Brina,11,13-06-2025
Gregi,7,Tomi,11,13-06-2025
Gregi,9,Tomi,11,13-06-2025
Gregi,13,Tomi,11,13-06-2025
Gregi,13,Tomi,15,13-06-2025
Gregi,11,Tomi,6,13-06-2025
Gregi,5,Brina,11,13-06-2025
Gregi,12,Brina,10,13-06-2025
Gregi,12,Brina,10,13-06-2025
Brina,11,Gregi,5,13-06-2025
